name,desc,last_30_d,last_90_d,last_year,build_error
a2ps,Any-to-PostScript filter,106,263,1013,0
a52dec,Library for decoding ATSC A/52 streams (AKA 'AC-3'),100,242,732,0
aacgain,AAC-supporting version of mp3gain,60,150,602,0
aalib,Portable ASCII art graphics library,595,799,1681,0
aamath,Renders mathematical expressions as ASCII art,20,44,185,0
aardvark_shell_utils,Utilities to aid shell scripts or command-line users,21,49,153,0
abcde,Better CD Encoder,80,394,766,0
abcl,Armed Bear Common Lisp: a full implementation of Common Lisp,50,106,580,0
abcm2ps,ABC music notation software,23,168,447,0
abcmidi,Converts abc music notation files to MIDI files,123,268,1298,0
abduco,Provides session management: i.e. separate programs from terminals,16,44,158,0
abnfgen,Quickly generate random documents that match an ABFN grammar,3,11,35,0
abook,Address book with mutt support,38,168,784,0
abseil,C++ Common Libraries,7211,20517,37590,0
abuse,Dark 2D side-scrolling platform game,24,71,330,0
abyss,Genome sequence assembler for short reads,32,112,561,0
ace,ADAPTIVE Communication Environment: OO network programming in C++,126,247,985,0
aces_container,Reference implementation of SMPTE ST2065-4,44,103,356,0
ack,"Search tool like grep, but optimized for programmers",11733,32368,104963,0
acl2,Logic and programming language in which you can model computer systems,10,40,117,0
acme,Crossassembler for multiple environments,389,1296,7372,0
acmetool,Automatic certificate acquisition tool for ACME (Let's Encrypt),9,37,334,0
acpica,OS-independent implementation of the ACPI specification,78,380,1440,0
act,Run your GitHub Actions locally 🚀,3119,6185,8824,0
activemq,Apache ActiveMQ: powerful open source messaging server,937,1929,9354,0
activemq-cpp,C++ API for message brokers such as Apache ActiveMQ,13,30,121,0
adios2,Next generation of ADIOS developed in the Exascale Computing Program,38,90,260,0
admesh,Processes triangulated solid meshes,9,24,84,0
adns,C/C++ resolver library and DNS resolver utilities,32110,96858,406786,0
adplug,"Free, hardware independent AdLib sound player library",16,30,107,0
adr-tools,CLI tool for working with Architecture Decision Records,477,1109,4194,0
advancecomp,"Recompression utilities for .PNG, .MNG, .ZIP, and .GZ files",159,425,1811,0
advancemame,MAME with advanced video support,18,64,241,0
advancemenu,Frontend for AdvanceMAME/MESS,6,12,73,0
advancescan,Rom manager for AdvanceMAME/MESS,20,37,92,0
adwaita-icon-theme,Icons for the GNOME project,6650,21458,102088,0
aerc,Email client that runs in your terminal,94,218,266,0
aescrypt,Program for encryption/decryption,44,131,497,0
aescrypt-packetizer,Encrypt and decrypt using 256-bit AES encryption,14,31,152,0
aespipe,AES encryption or decryption for pipes,129,289,427,0
afflib,Advanced Forensic Format,669,2420,13722,0
afio,Creates cpio-format archives,3,17,101,0
afl-fuzz,American fuzzy lop: Security-oriented fuzzer,73,441,1456,0
afsctool,Utility for manipulating HFS+ compressed files,51,143,535,0
aften,Audio encoder which generates ATSC A/52 compressed audio streams,974,3353,3520,0
afuse,Automounting file system implemented in userspace with FUSE,5,31,117,0
agda,Dependently typed functional programming language,198,659,2065,0
agedu,Unix utility for tracking down wasted disk space,21,62,473,0
aggregate,Optimizes lists of prefixes to reduce list lengths,8,26,92,0
aha,ANSI HTML adapter,91,245,1008,0
ahcpd,Autoconfiguration protocol for IPv6 and IPv6/IPv4 networks,10,27,72,0
ahoy,Creates self documenting CLI programs from commands in YAML files,52,99,472,0
aida-header,Abstract Interfaces for Data Analysis define interfaces for physics analysis,9,24,24,0
aide,File and directory integrity checker,129,167,292,0
aircrack-ng,Next-generation aircrack with lots of new features,2350,7670,37775,0
airshare,Cross-platform content sharing in a local network,31,93,325,0
airspy,Driver and tools for a software-defined radio,80,350,1343,0
akamai,CLI toolkit for working with Akamai's APIs,220,555,2485,0
akka,"Toolkit for building concurrent, distributed, and fault tolerant apps",14,46,358,0
alac,Basic decoder for Apple Lossless Audio Codec files (ALAC),13,44,134,0
aldo,Morse code learning tool released under GPL,10,29,108,0
alexjs,"Catch insensitive, inconsiderate writing",20,87,340,0
algernon,"Pure Go web server with Lua, Markdown, HTTP/2 and template support",57,89,266,0
algol68g,Algol 68 compiler-interpreter,1272,4472,26170,0
aliddns,Aliyun(Alibaba Cloud) ddns for golang,33,33,33,0
align,Text column alignment filter,8,20,73,0
aliyun-cli,Universal Command-Line Interface for Alibaba Cloud,706,1557,5135,0
allegro,C/C++ multimedia library for cross-platform game development,103,370,1637,0
allure,Flexible lightweight test report tool,1992,6201,21350,0
allureofthestars,Near-future Sci-Fi roguelike and tactical squad combat game,24,88,251,0
alluxio,Open Source Memory Speed Virtual Distributed Storage,42,102,355,0
alot,Text mode MUA using notmuch mail,12,79,361,0
