Ranking;Country;Area;
1;Russia;17075200;
2;Canada;9976140;
3;United States of America;9629091;
4;China;9596960;
5;Brazil;8511965;
6;Australia;7686850;
7;India;3287590;
8;Argentina;2766890;
9;Kazakhstan;2717300;
10;Sudan;2505810;
11;Algeria;2381740;
12;Congo (Dem. Rep.);2345410;
13;Greenland;2166086;
14;Mexico;1972550;
15;Saudi Arabia;1960582;
16;Indonesia;1919440;
17;Libya;1759540;
18;Iran;1648000;
19;Mongolia;1565000;
20;Peru;1285220;
21;Chad;1284000;
22;Niger;1267000;
23;Angola;1246700;
24;Mali;1240000;
25;South Africa;1219912;
26;Colombia;1138910;
27;Ethiopia;1127127;
28;Bolivia;1098580;
29;Mauritania;1030700;
30;Egypt;1001450;
31;Tanzania;945087;
32;Nigeria;923768;
33;Venezuela;912050;
34;Namibia;825418;
35;Pakistan;803940;
36;Mozambique;801590;
37;Turkey;780580;
38;Chile;756950;
39;Zambia;752614;
40;Burma (Myanmar;678500;
41;Afghanistan;647500;
42;Somalia;637657;
43;Central African Republic;622984;
44;Ukraine;603700;
45;Botswana;600370;
46;Madagascar;587040;
47;Kenya;582650;
48;France;547030;
49;Yemen;527970;
50;Thailand;514000;
51;Spain;504782;
52;Turkmenistan;488100;
53;Cameroon;475440;
54;Papua New Guinea;462840;
55;Sweden;449964;
56;Uzbekistan;447400;
57;Morocco;446550;
58;Iraq;437072;
59;Paraguay;406750;
60;Zimbabwe;390580;
61;Japan;377835;
62;Germany;357021;
63;Congo (Republic);342000;
64;Finland;337030;
65;Malaysia;329750;
66;Vietnam;329560;
67;Norway;324220;
68;Cote d'Ivoire;322460;
69;Poland;312685;
70;Italy;301230;
71;Philippines;300000;
72;Ecuador;283560;
73;Burkina Faso;274200;
74;New Zealand;268680;
75;Gabon;267667;
76;Tokelau;266000;
77;Guinea;245857;
78;United Kingdom;244820;
79;Ghana;239460;
80;Romania;237500;
81;Laos;236800;
82;Uganda;236040;
83;Guyana;214970;
84;Oman;212460;
85;Belarus;207600;
86;Kyrgyzstan;198500;
87;Senegal;196190;
88;Syria;185180;
89;Cambodia;181040;
90;Uruguay;176220;
91;Tunisia;163610;
92;Suriname;163270;
93;Bangladesh;144000;
94;Tajikistan;143100;
95;Nepal;140800;
96;Greece;131940;
97;Nicaragua;129494;
98;Eritrea;121320;
99;North Korea;120540;
100;Malawi;118480;
101;Benin;112620;
102;Honduras;112090;
103;Liberia;111370;
104;Bulgaria;110910;
105;Cuba;110860;
106;Guatemala;108890;
107;Iceland;103000;
108;Serbia;102350;
109;South Korea;98480;
110;Hungary;93030;
111;Portugal;92391;
112;Jordan;92300;
113;French Guiana;91000;
114;Azerbaijan;86600;
115;Austria;83858;
116;United Arab Emirates;82880;
117;Czech Republic;78866;
118;Panama;78200;
119;Sierra Leone;71740;
120;Ireland;70280;
121;Georgia;69700;
122;Sri Lanka;65610;
123;Lithuania;65200;
124;Latvia;64589;
125;Svalbard;62049;
126;Togo;56785;
127;Croatia;56542;
128;Bosnia and Herzegovina;51129;
129;Costa Rica;51100;
130;Slovakia;48845;
131;Dominican Republic;48730;
132;Bhutan;47000;
133;Estonia;45226;
134;Denmark;43094;
135;Netherlands;41526;
136;Switzerland;41290;
137;Guinea-Bissau;36120;
138;Taiwan (Rep. of China);35980;
139;Moldova;33843;
140;Belgium;30510;
141;Lesotho;30355;
142;Armenia;29800;
143;Albania;28748;
144;Solomon Islands;28450;
145;Equatorial Guinea;28051;
146;Burundi;27830;
147;Haiti;27750;
148;Rwanda;26338;
149;Macedonia;25333;
150;Djibouti;23000;
151;Belize;22966;
152;El Salvador;21040;
153;Israel;20770;
154;Slovenia;20273;
155;New Caledonia;19060;
156;Fiji;18270;
157;Kuwait;17820;
158;Swaziland;17363;
159;East Timor;15007;
160;Montenegro;14026;
161;Bahamas;13940;
162;Vanuatu;12200;
163;Falkland Islands (Islas Malvinas);12173;
164;Qatar;11437;
165;Gambia;11300;
166;Norfolk Island;10991;
167;Jamaica;10831;
168;Lebanon;10400;
169;Cyprus;9250;
170;Puerto Rico;9104;
171;Palestine;6220;
172;Brunei;5770;
173;Trinidad and Tobago;5128;
174;Kosovo;4203;
175;French Polynesia;4167;
176;Cape Verde;4033;
177;Samoa;2944;
178;Luxembourg;2586;
179;Reunion;2512;
180;Comoros;2170;
181;Mauritius;2040;
182;Guadeloupe;1780;
183;Faroe Islands;1399;
184;Martinique;1100;
185;Hong Kong;1092;
186;Sao Tome and Principe;1001;
187;Netherlands Antilles;960;
188;Kiribati;811;
189;Dominica;754;
190;Tonga;748;
191;Federated States of Micronesia;702;
192;Singapore;693;
193;Bahrain;665;
194;Saint Lucia;616;
195;Isle of Man;572;
196;Guam;549;
197;Northern Mariana Is.;477;
198;Andorra;468;
199;Palau;458;
200;Seychelles;455;
201;Antigua and Barbuda;443;
202;Barbados;431;
203;Turks and Caicos Islands;430;
204;Saint Helena;410;
205;Saint Pierre and Miquelon;389;
206;Mayotte;374;
207;Virgin Islands U.S.;352;
208;Grenada;344;
209;Malta;316;
210;Maldives;300;
211;Wallis and Futuna;274;
212;Cayman Islands;262;
213;Saint Kitts and Nevis;261;
214;Niue;260;
215;Saint Vincent and the Grenadines;242;
216;Cook Islands;240;
217;American Samoa;199;
218;Aruba;193;
219;Marshall Islands;181;
220;Liechtenstein;160;
221;British Virgin Islands;153;
222;Christmas Island;135;
223;Jersey;116;
224;Anguilla;102;
225;Montserrat;102;
